input_column,matched_KF_column_1,matched_KF_column_2,matched_KF_column_3
Country Code,Country,Currency,Employee Work Location / Zip/Postal Code
Case Number,Employee ID,Korn Ferry Reference  Job Code,Legal Entity / Business Unit
Reports to Case Number,Manager Employee  ID,Employee ID,Legal Entity / Business Unit
Area/City Code,Employee Work Location / Zip/Postal Code,Country,Legal Entity / Business Unit
Postal/ZIP Code,Employee Work Location / Zip/Postal Code,Country,Legal Entity / Business Unit
Unique Incumbent Identifier,Employee ID,Manager Employee  ID,Korn Ferry Reference  Job Code
Department Name,Department,Legal Entity / Business Unit,Function Code  (not required if Ref. Job Code is provided  in column O)
Internal Position Title,Employee  Job Title,Korn Ferry Reference  Job Code,Korn Ferry Reference Level   (not required if Ref. Job Code is provided in Column O)
Internal Grade/Level/Band,Employee  Grade / Band,Korn Ferry Reference Level   (not required if Ref. Job Code is provided in Column O),Korn Ferry Total Points
Paterson Grade,Employee  Grade / Band,Korn Ferry Reference Level   (not required if Ref. Job Code is provided in Column O),Korn Ferry Total Points
Employee Status,Executive/Non-Executive Indicator (E / N),Weekly Hours Worked,Expat
Hierarchical Title,Employee  Job Title,Korn Ferry Reference Level   (not required if Ref. Job Code is provided in Column O),Employee  Grade / Band
Education Level,Employee  Grade / Band,Korn Ferry Reference Level   (not required if Ref. Job Code is provided in Column O),Year of Birth
Livello,Employee  Grade / Band,Korn Ferry Reference Level   (not required if Ref. Job Code is provided in Column O),Korn Ferry Total Points
Expatriate Status,Expat,Country,Currency
Expatriate Pay Country,Country,Currency,Expat
Employment Contract,Basic Payments (Annual full-time equivalent),Fixed Payments (Annual full-time equivalent),Employee  Grade / Band
Gender,Gender,Year of Birth,Executive/Non-Executive Indicator (E / N)
Origin Code,Country,Expat,Gender
Ethnic Origin,Country,Gender,Year of Birth
Date of Birth,Year of Birth,Gender,Employee ID
Date of Hire,Year of Hire,Employee ID,Department
Primary Medium,Function Code  (not required if Ref. Job Code is provided  in column O),Department,Legal Entity / Business Unit
Year of Entry into Business/Industry,Year of Hire,Employee  Grade / Band,Korn Ferry Reference Level   (not required if Ref. Job Code is provided in Column O)
Date of Contract Termination,Year of Hire,Executive/Non-Executive Indicator (E / N),Employee ID
